Title,Source,Published At,Risk Analysis (GPT),Sentiment Analysis (LLaMA)
5 important countries for Russia's sanctions-skirting economy,Business Insider,2024-12-24T00:00:01Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.47849681973457336}]"
These 5 trends will steer retail in 2025,Business Insider,2024-12-26T11:01:02Z,GPT analysis failed.,"[{'label': 'contradiction', 'score': 0.6343986392021179}]"
The Biggest Coffee Business News Stories of 2024,Dailycoffeenews.com,2024-12-24T15:02:24Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9082131385803223}]"
"YETI Holdings, Inc. (YETI): A Bull Case Theory",Yahoo Entertainment,2024-12-26T17:03:49Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9739782810211182}]"
2:00PM Water Cooler 12/23/2024,Nakedcapitalism.com,2024-12-23T19:00:58Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.7622302174568176}]"
"China, Vietnam and Hong Kong may spring surprises in 2025",Livemint,2024-12-24T09:30:01Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.8521923422813416}]"
LQR House (NASDAQ:LQR) vs. Westrock Coffee (NASDAQ:WEST) Head-To-Head Review,ETF Daily News,2024-12-24T07:44:54Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9136322736740112}]"
"Fed's rate path, Starbucks, xAI funding - what's moving markets",Investing.com,2024-12-24T08:59:40Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.8404565453529358}]"
[Removed],[Removed],2024-12-24T04:59:06Z,GPT analysis failed.,"[{'label': 'entailment', 'score': 0.6064541935920715}]"
Global Times: China advances foreign trade with higher-quality products exported and more imports from LDCs,GlobeNewswire,2024-12-25T19:38:00Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9830065369606018}]"
The Great Craft of 2024,Rogerebert.com,2024-12-26T13:45:51Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.947460949420929}]"
트럼프는 이미 전 세계에 충격파를 보내고 있다.,Tistory.com,2024-12-23T00:32:30Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.660281240940094}]"
"Snack Food Packaging Market to Reach USD 28.5 Billion by 2035, Driven by Demand for Savory Snack Packaging | Future Market Insights, Inc.",GlobeNewswire,2024-12-27T00:30:00Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.994961142539978}]"
"Cutting-Edge Regenerative Medicine, Budget-Friendly Biohacks, The *Truth* About Vegetable Oils, Optimizing Health Like a Battery?!, Ketogenic Diet Insights & More: The Most Listened-To Episodes of 2024",Bengreenfieldlife.com,2024-12-28T10:00:50Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.7696479558944702}]"
A Tour of WebAuthn,Imperialviolet.org,2024-12-24T05:47:01Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.8993784189224243}]"
From Apple’s record valuation to Zara’s share surge: An A-Z of financial markets in 2024,The Irish Times,2024-12-27T08:10:06Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9903554916381836}]"
Record-breaking ransoms and breaches: A timeline of ransomware in 2024 | TechCrunch,TechCrunch,2024-12-27T14:02:10Z,GPT analysis failed.,"[{'label': 'neutral', 'score': 0.9048915505409241}]"
